label,FURSEM01_NMR_molA,FURSEM01_NMR_molB,FURSEM15_form1_NMR,FURSEM18_NMR_molA,FURSEM18_NMR_molB,FURSEM03_NMR_molB,FURSEM03_NMR_molA,FURSEM17_NMR_molA,FURSEM17_NMR_molB,FURSEM14_NMR,FURSEM15_form2_NMR,FURSEM16_NMR,FURSEM02_NMR,FURSEM13_NMR_molA,FURSEM13_NMR_molB
H1,6.3972,7.7533,7.8685,6.4232,7.8655,7.7761,6.3961,6.4258,7.3234,7.8278,7.9169,7.2134,7.3063,6.4317,7.9268
H2,6.4241,5.9938,7.4615,6.5726,6.0524,5.9757,6.4209,6.5668,6.095,6.7407,6.7333,6.3465,5.5099,6.5754,6.0816
H3,5.1043,5.9031,5.769,5.1795,5.967,5.8878,5.1849,5.3145,5.8346,5.7039,5.7687,6.1977,5.3562,5.203,6.0451
H4,4.6212,4.5214,3.6164,4.6499,4.2926,4.3171,4.5985,4.8635,4.1426,4.3678,4.327,4.4755,4.7796,4.6502,4.3061
H5,3.8654,3.4992,3.4836,3.6966,3.4752,3.4767,3.7384,4.2413,3.3813,3.313,3.2509,2.3887,4.4911,3.6325,3.4708
H6,7.9961,8.4557,8.0947,7.8761,8.297,8.3376,7.9518,7.59,9.3479,7.9158,7.9277,8.3483,4.2576,7.9062,8.2793
H7,7.198,5.0139,4.8844,7.2369,4.9614,5.0116,7.1987,6.6243,4.9707,4.4296,4.4986,5.6432,5.5099,7.2689,4.9783
H8,8.1216,7.9903,7.3252,8.0602,7.9842,7.9565,8.0379,8.0556,7.6837,7.253,7.323,8.0023,8.1185,8.0662,7.9788
H9,5.7912,6.8906,7.2933,7.5082,7.3847,7.408,5.4823,5.7773,5.6786,7.3414,7.1614,6.5952,5.7803,7.3784,6.6359
H10,7.0155,7.2458,6.1508,5.4327,6.7326,6.7209,7.5039,5.162,5.1198,6.5644,6.2677,5.859,6.4522,5.3831,7.4191
H11,14.1813,14.3412,13.2779,13.4866,13.7754,13.7367,13.5209,8.8184,10.2203,12.8901,12.6536,13.3284,10.4588,13.293,13.4906
C1,142.5233,145.7456,146.6416,142.4221,146.0571,145.6273,142.4229,143.5604,144.4665,149.1734,148.6933,145.3025,144.4786,142.3288,146.5093
C2,112.3228,110.2586,114.9906,112.9765,109.9969,109.8592,112.5448,112.7559,110.4059,113.1182,113.7421,113.135,109.6575,112.9926,109.8439
C3,109.5858,112.2776,111.779,109.8663,112.5116,112.1288,109.7238,111.803,112.4697,115.2513,113.9309,109.6058,113.1926,109.8383,112.9079
C4,155.3735,152.2619,147.0341,155.4433,152.0525,152.0509,155.3944,153.1322,151.5292,147.2867,147.5077,156.3208,148.7448,155.3416,152.4812
C5,36.6175,36.459,38.9586,36.7857,36.5643,36.3185,36.6798,37.4883,36.1223,38.8001,38.3354,32.9679,39.6716,36.567,36.5388
C6,151.7128,150.7127,148.699,151.6692,150.8044,150.6529,151.6632,151.2816,150.8858,148.3457,148.5642,151.0451,150.4736,151.5538,150.6347
C7,116.3592,116.6053,111.2057,116.3262,117.2898,116.8097,116.1727,115.623,116.4037,111.2331,111.6265,111.8482,121.1235,115.9346,117.6181
C8,141.9728,141.5158,145.9296,141.8586,141.1957,141.3431,141.9129,144.3062,140.5061,146.3267,146.3,142.6681,142.9041,142.4507,141.3624
C9,126.0016,127.9526,130.1407,125.6359,128.1373,128.0165,125.811,125.3953,128.5788,130.137,130.7269,130.0171,133.8352,125.5194,128.2204
C10,136.0487,134.3644,134.2614,136.3222,134.624,134.4122,136.0036,134.9758,131.303,133.7598,133.8178,134.6967,134.8377,136.2705,134.5734
C11,104.9061,107.0035,105.7995,105.2305,107.9958,107.5867,105.119,105.1032,107.4494,104.9498,104.8146,106.812,119.3725,105.2573,108.1162
C12,173.5453,173.6375,175.0075,172.9984,173.2695,173.4307,173.2557,172.2809,169.2421,174.8664,175.1685,176.0214,168.3005,172.7639,172.9644
